order_month,air_conditioning,audio_video_electronics,baby,bags_backpacks,bed_bath_table,books,car_accessories,computers,construction_tools_house_garden,fashion_accessories,food_drink,food_supplement,games_consoles,gifts,handcrafted,health_beauty,home_appliances,home_decor,home_office_furniture,household_utilities,music_instruments,party,pet,phone_mobile,small_appliances,sports_leisure,stationery,toys,watches
201801,NULL,NULL,NULL,NULL,89.90,NULL,NULL,NULL,NULL,NULL,NULL,70.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,634.40,NULL,NULL
201802,NULL,20.00,148.98,45.50,262.40,NULL,178.90,NULL,677.56,NULL,NULL,370.80,NULL,NULL,NULL,28.00,NULL,1042.50,NULL,443.60,1447.90,NULL,211.96,NULL,140.00,NULL,76.00,234.69,5935.46
201803,NULL,2842.87,NULL,NULL,679.59,19.90,347.00,34.50,1154.44,NULL,14.90,2397.74,NULL,NULL,NULL,567.50,145.97,531.50,NULL,2233.49,179.90,NULL,377.86,642.00,12620.00,362.10,820.40,238.10,27989.45
201804,NULL,3074.49,6113.15,720.37,2604.09,344.45,4266.00,599.50,2611.66,NULL,223.50,2368.75,NULL,189.00,NULL,6805.16,869.98,2906.34,NULL,5008.94,439.79,NULL,4586.34,1189.90,12529.90,2162.48,759.84,923.06,21467.90
201805,NULL,9813.11,364.78,2216.66,3330.90,3023.27,3451.86,1425.91,6499.96,676.70,413.80,1422.50,NULL,NULL,NULL,17061.91,435.00,6085.17,2736.57,10153.85,494.86,NULL,4215.38,152.90,14447.50,2472.48,422.80,670.41,31186.91
201806,282.00,10067.49,4283.87,3183.85,2133.39,1020.19,5414.06,840.48,4591.75,1016.90,302.40,1093.89,NULL,NULL,93.80,25298.46,2494.49,8414.03,1020.83,10497.65,973.59,NULL,5393.87,1247.59,3909.80,2263.28,2397.94,1116.54,11547.88
201807,278.00,12017.70,1397.68,2295.48,2335.46,1554.74,6637.60,1440.48,8512.30,5162.90,1148.49,1305.07,438.00,482.98,164.80,20234.70,16278.83,10980.97,2884.44,11568.15,1189.70,NULL,9526.63,449.70,1187.20,4401.55,2171.40,1153.53,7393.44
201808,2090.00,11587.78,1902.50,5471.95,4012.80,980.34,9710.56,7431.42,7959.40,974.58,1599.84,1335.30,219.00,339.29,617.30,18928.61,6016.90,13848.82,3258.72,11375.19,1113.90,388.98,16186.79,599.30,2840.47,3929.63,848.58,1220.53,10380.04
