order_month,air_conditioning,audio_video_electronics,baby,bags_backpacks,bed_bath_table,books,car_accessories,computers,construction_tools_house_garden,fashion_accessories,food_drink,food_supplement,games_consoles,gifts,handcrafted,health_beauty,home_appliances,home_decor,home_office_furniture,household_utilities,music_instruments,party,pet,phone_mobile,small_appliances,sports_leisure,stationery,toys,watches,air_conditioning_growth,audio_video_electronics_growth,baby_growth,bags_backpacks_growth,bed_bath_table_growth,books_growth,car_accessories_growth,computers_growth,construction_tools_house_garden_growth,fashion_accessories_growth,food_drink_growth,food_supplement_growth,games_consoles_growth,gifts_growth,handcrafted_growth,health_beauty_growth,home_appliances_growth,home_decor_growth,home_office_furniture_growth,household_utilities_growth,music_instruments_growth,party_growth,pet_growth,phone_mobile_growth,small_appliances_growth,sports_leisure_growth,stationery_growth,toys_growth,watches_growth,air_conditioning_growth_rt,audio_video_electronics_growth_rt,baby_growth_rt,bags_backpacks_growth_rt,bed_bath_table_growth_rt,books_growth_rt,car_accessories_growth_rt,computers_growth_rt,construction_tools_house_garden_growth_rt,fashion_accessories_growth_rt,food_drink_growth_rt,food_supplement_growth_rt,games_consoles_growth_rt,gifts_growth_rt,handcrafted_growth_rt,health_beauty_growth_rt,home_appliances_growth_rt,home_decor_growth_rt,home_office_furniture_growth_rt,household_utilities_growth_rt,music_instruments_growth_rt,party_growth_rt,pet_growth_rt,phone_mobile_growth_rt,small_appliances_growth_rt,sports_leisure_growth_rt,stationery_growth_rt,toys_growth_rt,watches_growth_rt
201801,NULL,NULL,NULL,NULL,89.90,NULL,NULL,NULL,NULL,NULL,NULL,70.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,634.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201802,NULL,20.00,148.98,45.50,262.40,NULL,178.90,NULL,677.56,NULL,NULL,370.80,NULL,NULL,NULL,28.00,NULL,1042.50,NULL,443.60,1447.90,NULL,211.96,NULL,140.00,NULL,76.00,234.69,5935.46,NULL,NULL,NULL,NULL,172.50,NULL,NULL,NULL,NULL,NULL,NULL,300.80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-558.40,NULL,NULL,NULL,NULL,NULL,NULL,191.88%,NULL,NULL,NULL,NULL,NULL,NULL,429.71%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-88.02%,NULL,NULL
201803,NULL,2842.87,NULL,NULL,679.59,19.90,347.00,34.50,1154.44,NULL,14.90,2397.74,NULL,NULL,NULL,567.50,145.97,531.50,NULL,2233.49,179.90,NULL,377.86,642.00,12620.00,362.10,820.40,238.10,27989.45,NULL,2822.87,NULL,NULL,417.19,NULL,168.10,NULL,476.88,NULL,NULL,2026.94,NULL,NULL,NULL,539.50,NULL,-511.00,NULL,1789.89,-1268.00,NULL,165.90,NULL,12480.00,NULL,744.40,3.41,22053.99,NULL,14114.35%,NULL,NULL,158.99%,NULL,93.96%,NULL,70.38%,NULL,NULL,546.64%,NULL,NULL,NULL,1926.79%,NULL,-49.02%,NULL,403.49%,-87.58%,NULL,78.27%,NULL,8914.29%,NULL,979.47%,1.45%,371.56%
201804,NULL,3074.49,6113.15,720.37,2604.09,344.45,4266.00,599.50,2611.66,NULL,223.50,2368.75,NULL,189.00,NULL,6805.16,869.98,2906.34,NULL,5008.94,439.79,NULL,4586.34,1189.90,12529.90,2162.48,759.84,923.06,21467.90,NULL,231.62,NULL,NULL,1924.50,324.55,3919.00,565.00,1457.22,NULL,208.60,-28.99,NULL,NULL,NULL,6237.66,724.01,2374.84,NULL,2775.45,259.89,NULL,4208.48,547.90,-90.10,1800.38,-60.56,684.96,-6521.55,NULL,8.15%,NULL,NULL,283.19%,1630.90%,1129.39%,1637.68%,126.23%,NULL,1400.00%,-1.21%,NULL,NULL,NULL,1099.15%,496.00%,446.82%,NULL,124.27%,144.46%,NULL,1113.77%,85.34%,-0.71%,497.21%,-7.38%,287.68%,-23.30%
201805,NULL,9813.11,364.78,2216.66,3330.90,3023.27,3451.86,1425.91,6499.96,676.70,413.80,1422.50,NULL,NULL,NULL,17061.91,435.00,6085.17,2736.57,10153.85,494.86,NULL,4215.38,152.90,14447.50,2472.48,422.80,670.41,31186.91,NULL,6738.62,-5748.37,1496.29,726.81,2678.82,-814.14,826.41,3888.30,NULL,190.30,-946.25,NULL,NULL,NULL,10256.75,-434.98,3178.83,NULL,5144.91,55.07,NULL,-370.96,-1037.00,1917.60,310.00,-337.04,-252.65,9719.01,NULL,219.18%,-94.03%,207.71%,27.91%,777.71%,-19.08%,137.85%,148.88%,NULL,85.15%,-39.95%,NULL,NULL,NULL,150.72%,-50.00%,109.38%,NULL,102.71%,12.52%,NULL,-8.09%,-87.15%,15.30%,14.34%,-44.36%,-27.37%,45.27%
201806,282.00,10067.49,4283.87,3183.85,2133.39,1020.19,5414.06,840.48,4591.75,1016.90,302.40,1093.89,NULL,NULL,93.80,25298.46,2494.49,8414.03,1020.83,10497.65,973.59,NULL,5393.87,1247.59,3909.80,2263.28,2397.94,1116.54,11547.88,NULL,254.38,3919.09,967.19,-1197.51,-2003.08,1962.20,-585.43,-1908.21,340.20,-111.40,-328.61,NULL,NULL,NULL,8236.55,2059.49,2328.86,-1715.74,343.80,478.73,NULL,1178.49,1094.69,-10537.70,-209.20,1975.14,446.13,-19639.03,NULL,2.59%,1074.37%,43.63%,-35.95%,-66.26%,56.84%,-41.06%,-29.36%,50.27%,-26.92%,-23.10%,NULL,NULL,NULL,48.27%,473.45%,38.27%,-62.70%,3.39%,96.74%,NULL,27.96%,715.95%,-72.94%,-8.46%,467.16%,66.55%,-62.97%
201807,278.00,12017.70,1397.68,2295.48,2335.46,1554.74,6637.60,1440.48,8512.30,5162.90,1148.49,1305.07,438.00,482.98,164.80,20234.70,16278.83,10980.97,2884.44,11568.15,1189.70,NULL,9526.63,449.70,1187.20,4401.55,2171.40,1153.53,7393.44,-4.00,1950.21,-2886.19,-888.37,202.07,534.55,1223.54,600.00,3920.55,4146.00,846.09,211.18,NULL,NULL,71.00,-5063.76,13784.34,2566.94,1863.61,1070.50,216.11,NULL,4132.76,-797.89,-2722.60,2138.27,-226.54,36.99,-4154.44,-1.42%,19.37%,-67.37%,-27.90%,9.47%,52.40%,22.60%,71.39%,85.38%,407.71%,279.79%,19.31%,NULL,NULL,75.69%,-20.02%,552.59%,30.51%,182.56%,10.20%,22.20%,NULL,76.62%,-63.95%,-69.64%,94.48%,-9.45%,3.31%,-35.98%
201808,2090.00,11587.78,1902.50,5471.95,4012.80,980.34,9710.56,7431.42,7959.40,974.58,1599.84,1335.30,219.00,339.29,617.30,18928.61,6016.90,13848.82,3258.72,11375.19,1113.90,388.98,16186.79,599.30,2840.47,3929.63,848.58,1220.53,10380.04,1812.00,-429.92,504.82,3176.47,1677.34,-574.40,3072.96,5990.94,-552.90,-4188.32,451.35,30.23,-219.00,-143.69,452.50,-1306.09,-10261.93,2867.85,374.28,-192.96,-75.80,NULL,6660.16,149.60,1653.27,-471.92,-1322.82,67.00,2986.60,651.80%,-3.58%,36.12%,138.38%,71.82%,-36.95%,46.30%,415.90%,-6.50%,-81.12%,39.30%,2.32%,-50.00%,-29.75%,274.58%,-6.45%,-63.04%,26.12%,12.98%,-1.67%,-6.37%,NULL,69.91%,33.27%,139.26%,-10.72%,-60.92%,5.81%,40.40%
